Datetime,Value
200808010000,146.070370
200809010000,145.658923
200810010000,151.003691
200811010000,144.128830
200812010000,152.852416
200901010000,148.797570
200902010000,149.437530
200903010000,155.868070
200904010000,147.942130
200905010000,146.815670
200906010000,145.416405
200907010000,139.780210
200908010000,143.846120
200909010000,147.114923
200910010000,146.060941
200911010000,143.119080
200912010000,140.975416
201001010000,138.620320
201002010000,142.959530
201003010000,143.730570
201004010000,148.265630
201005010000,142.657420
201006010000,146.706155
201007010000,149.350460
201008010000,146.271370
201009010000,142.772673
201010010000,141.758691
201011010000,140.771080
201012010000,144.853666
201101010000,136.904820
201102010000,145.878030
201103010000,138.408570
201104010000,142.760130
201105010000,140.300420
201106010000,138.707905
201107010000,139.282460
201108010000,133.551870
201109010000,137.074673
201110010000,134.729941
201111010000,142.373580
201112010000,139.726916
201201010000,141.147070
201202010000,147.344530
201203010000,140.876320
201204010000,138.516630
201205010000,140.255445
201206010000,144.735880
201207010000,137.608910
201208010000,138.458070
201209010000,135.275498
201210010000,131.656041
201211010000,135.788030
201212010000,133.289341
201301010000,137.858970
201302010000,129.160655
201303010000,135.925970
201304010000,136.291030
201305010000,135.861720
201306010000,139.813755
201307010000,134.799685
201308010000,133.426620
201309010000,136.748098
201310010000,134.017341
201311010000,137.429230
201312010000,129.283866
201401010000,135.135320
201402010000,135.759780
201403010000,130.522295
201404010000,128.806855
201405010000,137.042570
201406010000,130.522180
201407010000,133.292735
201408010000,131.509120
201409010000,128.488748
201410010000,133.906891
201411010000,129.523705
201412010000,132.151916
201501010000,134.669470
201502010000,122.593480
201503010000,127.801745
201504010000,130.551130
201505010000,130.200295
201506010000,127.231255
